Variant SKU,Product SKU,Original Patterns,AI Detected Pattern,Design Image URL
6173589FASH000G99,6173589FASH000,,Chevron,https://brugs-image.s3.us-east-2.amazonaws.com/6173589FASH000/5ae55b371fbf15533998ee475e2bff45d5800c14.jpg
6173590FCHL000F05,6173590FCHL000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6173590FCHL000/pks2gv7expagvb6if36s.jpg
6173604FGRT000F05,6173604FGRT000,,Chevron,https://brugs-image.s3.us-east-2.amazonaws.com/6173604FGRT000/ioh11p6ertuozladg9nq.jpg
6173606FASP000F05,6173606FASP000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6173606FASP000/qi6v0lnlrtrsspms3pvd.jpg
6173610FFOG000G99,6173610FFOG000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6173610FFOG000/aqatilxohxbvj4h2l9an.jpg
6206326FSTM000E50,6206326FSTM000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6206326FSTM000/qnrujpsguj7nmxhhyu0f.jpg
6206326FZIN000E50,6206326FZIN000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6206326FZIN000/a7pcwvpoz9vw2d2pw6su.jpg
6223267FDGY000E70,6223267FDGY000,,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/6223267FDGY000/udfoshq34ybesbvzkzvq.jpg
6223267FSMK000E70,6223267FSMK000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6223267FSMK000/ofrguhhwjp0izdmhbltn.jpg
6223268FGRT000E70,6223268FGRT000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6223268FGRT000/osar0smb4rjb3q6jlrp9.jpg
6223269FASH000E70,6223269FASH000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6223269FASH000/br9qwtjnunnydvij1f47.jpg
6223269FGRA000E70,6223269FGRA000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6223269FGRA000/tv1wdx3bt7ehhqabmxxm.jpg
6328621FTWL000F09,6328621FTWL000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6328621FTWL000/cbkx8cv4j0yuozjetpc9.jpg
6328623FHOR000E10,6328623FHOR000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6328623FHOR000/g4rqqy6guf8b109fn3vx.jpg
6328624FPOL000E10,6328624FPOL000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6328624FPOL000/ehkw9jjlyud6lwtvq8wo.jpg
6328625FGXY000E10,6328625FGXY000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6328625FGXY000/fnh7gfjhoqtyd1veeuxg.jpg
6344114FAZR000G99,6344114FAZR000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6344114FAZR000/bpxw0l8mtwli0ps9rzy6.jpg
6498458FFOG000E10,6498458FFOG000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6498458FFOG000/fwrj2myagsamc34oqacp.jpg
6498460FBLK000E10,6498460FBLK000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6498460FBLK000/twnjr0jnkwlvbelhhnwv.jpg
6523466FTQS000A22,6523466FTQS000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6523466FTQS000/tjyzibwnbbly62dnwmjw.jpg
6523469FTEL000G10,6523469FTEL000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6523469FTEL000/gl47axnhqljt95xsivq3.jpg
6523471FLAG000G10,6523471FLAG000,,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/6523471FLAG000/tuwxqtws3zs0i9sfvjcl.jpg
6523475FAQU000G10,6523475FAQU000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6523475FAQU000/ufnbntvmtggldls7fsgi.jpg
6533466FRYL000A22,6533466FRYL000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6533466FRYL000/v6hwscv5qogxn6vro8dy.jpg
6533467FBHZ000F05,6533467FBHZ000,,Ikat,https://brugs-image.s3.us-east-2.amazonaws.com/6533467FBHZ000/dqrzfbasszfk8axaflbr.jpg
6533468FIND000F05,6533468FIND000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6533468FIND000/kv4squbgkrhlw7a95zpg.jpg
6533470FATL000E76,6533470FATL000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6533470FATL000/utfza3preybbrvax5fpb.jpg
6533471FTCL000C16,6533471FTCL000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6533471FTCL000/kkbtdihn3d4owy06ge6q.jpg
6533473FMST000F05,6533473FMST000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6533473FMST000/moxmktgk00ymwru7nioj.jpg
6548397FCHL000G99,6548397FCHL000,,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/6548397FCHL000/uberbcmrxptqch7u0x9c.jpg
6548399FGRY000C50,6548399FGRY000,,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/6548399FGRY000/kyhkjst8kz3ru3uhvhug.jpg
6548424FSAG000E10,6548424FSAG000,,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/6548424FSAG000/j9695ynf4kf0wy9qi6ic.jpg
6548429FMLT000C50,6548429FMLT000,,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/6548429FMLT000/amzk9cdwnabry4mxogiw.jpg
6566318FMST000E50,6566318FMST000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6566318FMST000/c4rbdf71u5tktqksgm4x.jpg
6566319FMSH000E50,6566319FMSH000,,Tribal,https://brugs-image.s3.us-east-2.amazonaws.com/6566319FMSH000/ty671pmzw4njzumbqozv.jpg
6566321FOLV000E50,6566321FOLV000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6566321FOLV000/pvzdmh3nv6fjayqzaqu2.jpg
6613374FICEBIRF05,6613374FICEBIR,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6613374FICEBIR/ywtmvfeqw75g3eqr8dtj.jpg
6613376FMNTTPEF05,6613376FMNTTPE,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6613376FMNTTPE/awteqxukogd34gcqmhjg.jpg
6613377FTPECASG99,6613377FTPECAS,,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/6613377FTPECAS/tnqdwgalh5qci90vqddd.jpg
6613378FBIRSTEG99,6613378FBIRSTE,,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/6613378FBIRSTE/aenboopgycbxnzna52ve.jpg
6613379FCASTPEC16,6613379FCASTPE,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6613379FCASTPE/frwp3wlfl8apdivwucbp.jpg
6613380FCASTPEF05,6613380FCASTPE,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6613380FCASTPE/ff813c02c19ddf897aca1e2238f9aae6b14ab760.jpg
6613381FBIRSTEF05,6613381FBIRSTE,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6613381FBIRSTE/dh60dtpteivutjuq7pb5.jpg
6636447FSTM000E50,6636447FSTM000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6636447FSTM000/o6asa5vpk9bidf05fzmw.jpg
6636448FTPE000C00,6636448FTPE000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6636448FTPE000/urf6o80gjz2hmcvipwbz.jpg
6678377FMSH000E10,6678377FMSH000,,Tribal,https://brugs-image.s3.us-east-2.amazonaws.com/6678377FMSH000/fp1cf2iquv0otqdvwfm8.jpg
6678383FICE000E10,6678383FICE000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6678383FICE000/v0cktvovkxotlmrx2z9o.jpg
6678389FSMK000E10,6678389FSMK000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6678389FSMK000/dxfusmonzbn6gdl0rudu.jpg
6678573FSLV000E10,6678573FSLV000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6678573FSLV000/pitz6kqzlyugjv89ityr.jpg
6698717FCHL000C50,6698717FCHL000,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6698717FCHL000/pfsjngexlfv8gbph9q1p.jpg
6698717FMSH000C50,6698717FMSH000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6698717FMSH000/gdql5aegcjfnfy1y8kxb.jpg
6698717FMST000C50,6698717FMST000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6698717FMST000/ak4bqqobjqldlayjss7z.jpg
6698717FSLV000C50,6698717FSLV000,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6698717FSLV000/gnxrf77uxnn6lkgu9dma.jpg
6698717FTPE000C50,6698717FTPE000,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6698717FTPE000/lej9ospnswwy1hpd9alw.jpg
6698717FWHT000C50,6698717FWHT000,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6698717FWHT000/kulnwprgkqqfd33g6wzu.jpg
6703678FCRM000E10,6703678FCRM000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6703678FCRM000/cg1yaj57kem849jxtfwd.jpg
6703679FCHL000G99,6703679FCHL000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6703679FCHL000/hhzffgothnyimyxeacbm.jpg
6703680FCHLGRYE10,6703680FCHLGRY,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6703680FCHLGRY/zkfbtpywktfm0xwfixir.jpg
6703681FLBL000G99,6703681FLBL000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6703681FLBL000/ox34wxgboqolmynuroe9.jpg
6703682FLGY000E10,6703682FLGY000,,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6703682FLGY000/cnnzuefejsfyt7kl2bcs.jpg
6703683FGRY000E10,6703683FGRY000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6703683FGRY000/jkahvqqfzrnkn3lraec1.jpg
6703893FGRYIVYG99,6703893FGRYIVY,,Tribal,https://brugs-image.s3.us-east-2.amazonaws.com/6703893FGRYIVY/ar8stoal4cz4fqj0qjke.jpg
6703894FLGY000E10,6703894FLGY000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6703894FLGY000/lptsvtkgjxcoklwca0it.jpg
6703970FGRY000E10,6703970FGRY000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6703970FGRY000/hf71vas9ry0sqgsrq9z7.jpg
67039AEFLBLIVYG99,67039AEFLBLIVY,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/67039AEFLBLIVY/fowlhjtgf0pjg9ueg34e.jpg
67039N8FIVYGRYE10,67039N8FIVYGRY,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/67039N8FIVYGRY/6dbf48cf3f20e2c4b4073704b6fe8bad4d94aa41.jpg
67039N9FIVYCHLE10,67039N9FIVYCHL,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/67039N9FIVYCHL/659f3020ab9ea69c0668f4494ecdada48bde2ec4.jpg
67039NAFIVYBGEE10,67039NAFIVYBGE,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/67039NAFIVYBGE/8c9fc989dccfd5e6e47aa3793ec772e30cc78294.jpg
6713675FSLV000H13,6713675FSLV000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6713675FSLV000/qifmswlpn4odobtqala3.jpg
6713677FGRYTQSH13,6713677FGRYTQS,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6713677FGRYTQS/yqxkhpg1pn4ncyltyvpw.jpg
6713684FSLVBGEG99,6713684FSLVBGE,,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/6713684FSLVBGE/lj9vbdpwbssx38c6qz55.jpg
6723687FSND000G99,6723687FSND000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6723687FSND000/qnu4nnc4vakbppopvr1q.jpg
6723689FYELDGDG99,6723689FYELDGD,,Wood Grain,https://brugs-image.s3.us-east-2.amazonaws.com/6723689FYELDGD/dwmje8ekrwa7efkvakzm.jpg
6766775FSTN000G50,6766775FSTN000,,Tribal,https://brugs-image.s3.us-east-2.amazonaws.com/6766775FSTN000/ky15zhwroz1taxxnvilt.jpg
6766777FASH000C00,6766777FASH000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6766777FASH000/zvex3hsxjrsazjlz4rzt.jpg
6766778FSTM000C00,6766778FSTM000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6766778FSTM000/kbzydhemkphzfy7oyyy8.jpg
6766785FDUS000E50,6766785FDUS000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6766785FDUS000/ioqpskqgqkzzqch5mde7.jpg
6790737FOAT000C50,6790737FOAT000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6790737FOAT000/dvge1km3lxaa9nqin9mp.jpg
6790738FNATMLTC50,6790738FNATMLT,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6790738FNATMLT/xuzrlkak05gx1qiaqiud.jpg
6790739FIVY000C50,6790739FIVY000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6790739FIVY000/ha9wsjx1jfijimla8mzr.jpg
6790739FNATGRYE10,6790739FNATGRY,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6790739FNATGRY/asxtg2pjbvlvihnrb9qq.jpg
6790811FSNDMLTC50,6790811FSNDMLT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6790811FSNDMLT/eydpix6aytws2stccy8w.jpg
6790812FGRY000E10,6790812FGRY000,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6790812FGRY000/yus6qghpweiewckjxg90.jpg
6790821FGRYMLTC50,6790821FGRYMLT,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6790821FGRYMLT/etdkzfrsdvqiwo6gafvj.jpg
6790821FPURMLTE10,6790821FPURMLT,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6790821FPURMLT/orlag1vffog8iy4hnwvo.jpg
6790821FREDMLTE10,6790821FREDMLT,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6790821FREDMLT/obhdc5tplksey4fa2gsp.jpg
6803489FWHTWHTE76,6803489FWHTWHT,,Chevron,https://brugs-image.s3.us-east-2.amazonaws.com/6803489FWHTWHT/02bea4acf91f294c77960a856648f21bad3e8c40.jpg
6803490FBLHWHTE76,6803490FBLHWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803490FBLHWHT/d51d1e011972f80e8acacd8faaeaa4a391b8fcf9.jpg
6803490FTELWHTE76,6803490FTELWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803490FTELWHT/bf7afe04d5f0a184bbfd515bd8ed881978a251c6.jpg
6803490FWHTWHTG25,6803490FWHTWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803490FWHTWHT/mz5dmj0nlhnlphb1ttvl.jpg
6803491FWHTWHTH10,6803491FWHTWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803491FWHTWHT/h2ielwjolmtiddzym0k8.jpg
6803494FWHTWHTE76,6803494FWHTWHT,,Trellis,https://brugs-image.s3.us-east-2.amazonaws.com/6803494FWHTWHT/0c96cc17369653d41243cc51ccac0816dc1ad6a7.jpg
6803495FBLHWHTE76,6803495FBLHWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803495FBLHWHT/5dee3615f1f221fd602aebdf54d1f8163932dc80.jpg
6803495FTELWHTE76,6803495FTELWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803495FTELWHT/5b9260b8700e074f45a16376e9483cab98ccf8ca.jpg
6803496FBLHWHTE76,6803496FBLHWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803496FBLHWHT/062d7c89af7b19bef1c38d45fc8bded81cb2a1b1.jpg
6803498FBLHWHTE76,6803498FBLHWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803498FBLHWHT/8f9a6100eabdef1d3b6a380e389f81bab913c16f.jpg
6803498FTELWHTE76,6803498FTELWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803498FTELWHT/8a3d080a4fd73466aa2622912972ed3824125247.jpg
6803499FBLHWHTH10,6803499FBLHWHT,,Solid,https://brugs-image.s3.us-east-2.amazonaws.com/6803499FBLHWHT/27b0dab4894048faaaf00e7d17fe573d98b70b64.jpg
6803500FBLHWHTE76,6803500FBLHWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803500FBLHWHT/6e576d35d2aaee8c71acd489248c6c967480755b.jpg
6803501FTELWHTH10,6803501FTELWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803501FTELWHT/whdbnzzs4d5usv5ln7ru.jpg
6803504FTELWHTG25,6803504FTELWHT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6803504FTELWHT/525e1c208c9df8e050d5118122d0a99cee115fca.jpg
6803505FTELWHTG25,6803505FTELWHT,,Chevron,https://brugs-image.s3.us-east-2.amazonaws.com/6803505FTELWHT/2dde4c8256142457cf6e81748bdaf8cfba2c0c1f.jpg
6850769FIVY000E10,6850769FIVY000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6850769FIVY000/frcfmtzzp8ee9znghhrk.jpg
6850769FONX000E10,6850769FONX000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6850769FONX000/bysced9skue0manufxux.jpg
6850770FDOV000E10,6850770FDOV000,,Herringbone,https://brugs-image.s3.us-east-2.amazonaws.com/6850770FDOV000/nj4vneqbczl9ahcucrqn.jpg
6850770FMOC000E10,6850770FMOC000,,Herringbone,https://brugs-image.s3.us-east-2.amazonaws.com/6850770FMOC000/neypi3wnrnwztvkkeeq5.jpg
6850770FTEL000G99,6850770FTEL000,,Herringbone,https://brugs-image.s3.us-east-2.amazonaws.com/6850770FTEL000/r7dxnwpnuhkkmzftd8u6.jpg
6866385FLBL000F09,6866385FLBL000,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6866385FLBL000/fnbkbmrzgksua9cbasax.jpg
6870526FSEAMLTE10,6870526FSEAMLT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6870526FSEAMLT/ioq4qqyttitvy7kywcko.jpg
6870527FINDMLTE10,6870527FINDMLT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6870527FINDMLT/4cf4381576a8ff45b63568121a6dc55c92634bf4.jpg
6870529FCURMLTE10,6870529FCURMLT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6870529FCURMLT/93a2a441133171f47e303819c06c4273d1e30ed9.jpg
6870529FPURMLTE10,6870529FPURMLT,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6870529FPURMLT/2c81b04d1ee1e91bd3e5385ab715199d9a5e2221.jpg
6943044FBGEGRYC07,6943044FBGEGRY,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6943044FBGEGRY/9c9d77218fa00dc89da8efdee061234fec7679a8.jpg
6943045FIVYSLVC07,6943045FIVYSLV,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6943045FIVYSLV/mxcs9uj9xvoc0zjhuyst.jpg
6943046FBGEGRYC07,6943046FBGEGRY,,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6943046FBGEGRY/f54z36r1jln7hidkbydw.jpg
6943047FBGESLVC07,6943047FBGESLV,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6943047FBGESLV/xrhymy0m5xbxslj3pgpn.jpg
6943048FGRYSLVC07,6943048FGRYSLV,,Chevron,https://brugs-image.s3.us-east-2.amazonaws.com/6943048FGRYSLV/cy9alipfufax4nveqqlb.jpg
6943049FSLV000C07,6943049FSLV000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6943049FSLV000/zb6yxmchufqwetucb37k.jpg
6943336FSLVGRYC07,6943336FSLVGRY,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6943336FSLVGRY/5550a6110ab5332ffcdb79924a1e788a999962f5.jpg
6943337FBLKDGYC07,6943337FBLKDGY,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6943337FBLKDGY/nf0hvydp7xsxawrybvo1.jpg
6943338FBLKSLVC07,6943338FBLKSLV,,Striped,https://brugs-image.s3.us-east-2.amazonaws.com/6943338FBLKSLV/a3e52b94b302229a76096786c57404ee31e16691.jpg
6943339FBLK000C07,6943339FBLK000,,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6943339FBLK000/ccafe3ded42863f7814486fec3ed19b76edf7fb9.jpg
