Variant SKU,Product SKU,AI Detected Pattern,Design Image URL,Status,Reviewed By,Timestamp
237144-012,237144A1,Oriental,https://brugs-image.s3.us-east-2.amazonaws.com/237144A1/237144-013_prm_1.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T11:54:16.326085
237150-002,237150A1,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/237150A1/237150-002_prm_1.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T11:54:22.030551
237150-013,237150A3,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/237150A3/237150-013_prm_1.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T11:54:24.114042
4944550FGRY000A25,4944550FGRY000,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/4944550FGRY000/mobaqqvujvbmlib49e4o.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T11:54:43.235002
4944550FLAQ000A25,4944550FLAQ000,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/4944550FLAQ000/eyn5p7edmjnxqujb8nzk.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T11:54:43.682571
237150-009,237150A2,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/237150A2/237150-009_prm_1.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T12:29:10.195165
5123795FDCO000A22,5123795FDCO000,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/5123795FDCO000/bojnhxeag7y1wkm2y0kg.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T12:29:27.051214
5123794FDCO000G25,5123794FDCO000,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/5123794FDCO000/efk2jyftsnmuvxdmxgvu.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:42:53.730127
5226109FSTLCHOF99,5226109FSTLCHO,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/5226109FSTLCHO/nze1r6texvivf387ovwm.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:42:57.119147
5226280FCHLMLTF99,5226280FCHLMLT,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/5226280FCHLMLT/rsxn4lt8dhdpxragwzag.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:43:00.605908
5236115FBRN000C00,5236115FBRN000,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/5236115FBRN000/86cc37ef3f39245f313ad4149662499334c0af82.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:43:05.440249
5543250FPEWGRYE76,5543250FPEWGRY,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/5543250FPEWGRY/s2duhm33extvlwkpmnmy.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:43:19.766100
5613186FCRMAQUE76,5613186FCRMAQU,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/5613186FCRMAQU/3ef05dc79838d2de7dd7cac7cea06b5c5828aaa2.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:43:22.766504
5703256FCRMCHLG25,5703256FCRMCHL,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/5703256FCRMCHL/ufcj40crb9m527t7xpjk.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:43:34.127020
5703272FCRMNTMG25,5703272FCRMNTM,Medallion,https://brugs-image.s3.us-east-2.amazonaws.com/5703272FCRMNTM/e9bxv3c2b9yiwjmdfiqd.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:43:37.670029
5613187FDCOAQUG25,5613187FDCOAQU,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/5613187FDCOAQU/da4abc6439c36f269f7e7a89fbc76894e21db5a0.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:45:26.937164
5666417FSMK000E50,5666417FSMK000,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/5666417FSMK000/2e76ce8ebed688c5ade4fe2955263f1ea034e6fa.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:45:31.143161
5920523FYEL000G99,5920523FYEL000,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/5920523FYEL000/f45qjwqh7cnuxrcwtqfz.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:46:09.481786
5978404FMSH000E10,5978404FMSH000,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/5978404FMSH000/enmivih5ab6e4uubmnl4.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:46:25.380839
6013373FCRMDGYG25,6013373FCRMDGY,Floral,https://brugs-image.s3.us-east-2.amazonaws.com/6013373FCRMDGY/fkfp9bowtsafp3ir1bex.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:46:38.725592
6043841FDGYDGYG10,6043841FDGYDGY,Geometric,https://brugs-image.s3.us-east-2.amazonaws.com/6043841FDGYDGY/b1iuv73ve1ux7ydasr2h.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:46:52.176219
6163598FMID000F05,6163598FMID000,Damask,https://brugs-image.s3.us-east-2.amazonaws.com/6163598FMID000/pyoghzf0zmkyzw8e1dau.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:47:15.964457
6163608FSMK000F05,6163608FSMK000,Abstract,https://brugs-image.s3.us-east-2.amazonaws.com/6163608FSMK000/xgjvmxryypjbf6lqulja.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:47:33.337494
237144-026,237144A2,Persian,https://brugs-image.s3.us-east-2.amazonaws.com/237144A2/237144-027_prm_1.jpg,Rejected,yakup.saricali@boutiquerugs.com,2026-01-14T13:47:40.973971
